defPath	resolver	raw	cdnKey	status
apps/shared/tcg-core/cards/definitions/allegiance/thought_virus.ts	assetUrl	art/cards/allegiance/thought_virus_vector_t4.webp	art/cards/allegiance/thought_virus_vector_t4.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/allegiance/thought_virus.ts	assetUrl	art/cards/allegiance/thought_virus_prime_vessel_t5.webp	art/cards/allegiance/thought_virus_prime_vessel_t5.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/allegiance/thought_virus.ts	assetUrl	art/cards/allegiance/thought_virus_champion_t6.webp	art/cards/allegiance/thought_virus_champion_t6.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/gen_antiquarian.ts	assetUrl	art/cards/gen_antiquarian.webp	art/cards/gen_antiquarian.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_018_the_antiquarian.ts	assetUrl	art/cards/antiquarian/the_antiquarian.webp	art/cards/antiquarian/the_antiquarian.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_043_the_programmer.ts	assetUrl	art/cards/s1_char_043.webp	art/cards/s1_char_043.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_058_epoch_walker.ts	assetUrl	art/cards/s1_char_058.webp	art/cards/s1_char_058.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_059_chronosplicer.ts	assetUrl	art/cards/s1_char_059.webp	art/cards/s1_char_059.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_060_relic_keeper.ts	assetUrl	art/cards/s1_char_060.webp	art/cards/s1_char_060.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_061_temporal_archivist.ts	assetUrl	art/cards/s1_char_097.webp	art/cards/s1_char_097.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_062_hourglass_golem.ts	assetUrl	art/cards/s1_char_062.webp	art/cards/s1_char_062.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_063_paradox_acolyte.ts	assetUrl	art/cards/s1_char_063.webp	art/cards/s1_char_063.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_064_memory_thief.ts	assetUrl	art/cards/s1_char_064.webp	art/cards/s1_char_064.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_065_age_ender.ts	assetUrl	art/cards/s1_char_065.webp	art/cards/s1_char_065.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_121_epoch_watcher.ts	assetUrl	art/cards/s1_char_121.webp	art/cards/s1_char_121.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_122_timeline_splitter.ts	assetUrl	art/cards/s1_char_122.webp	art/cards/s1_char_122.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_123_relic_scholar.ts	assetUrl	art/cards/s1_char_123.webp	art/cards/s1_char_123.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_124_age_walker.ts	assetUrl	art/cards/s1_char_124.webp	art/cards/s1_char_124.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_char_201_chronoguard_sentinel.ts	assetUrl	art/cards/s1_char_201.webp	art/cards/s1_char_201.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_curve_001_era_mote.ts	assetUrl	art/cards/antiquarian/era_mote.webp	art/cards/antiquarian/era_mote.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_curve_006_hourglass_sentinel.ts	assetUrl	art/cards/antiquarian/hourglass_sentinel.webp	art/cards/antiquarian/hourglass_sentinel.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_007_archive_swarm.ts	assetUrl	art/cards/s1_pack_007.webp	art/cards/s1_pack_007.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_036_temporal_collapse.ts	assetUrl	art/cards/s1_pack_036.webp	art/cards/s1_pack_036.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_037_era_guardian.ts	assetUrl	art/cards/s1_pack_037.webp	art/cards/s1_pack_037.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_038_chrono_blade.ts	assetUrl	art/cards/s1_pack_038.webp	art/cards/s1_pack_038.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_039_age_of_reckoning.ts	assetUrl	art/cards/s1_pack_039.webp	art/cards/s1_pack_039.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_040_fossil_sentinel.ts	assetUrl	art/cards/s1_pack_040.webp	art/cards/s1_pack_040.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_041_the_archivist_supreme.ts	assetUrl	art/cards/s1_pack_041.webp	art/cards/s1_pack_041.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_042_memory_splice.ts	assetUrl	art/cards/s1_pack_042.webp	art/cards/s1_pack_042.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_pack_seed_governance.ts	assetUrl	art/cards/s1_pack_seed_governance.webp	art/cards/s1_pack_seed_governance.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_campaign_acceptance.ts	assetUrl	art/cards/s1_reward_campaign_acceptance.webp	art/cards/s1_reward_campaign_acceptance.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_discovery_all.ts	assetUrl	art/cards/s1_reward_discovery_all.webp	art/cards/s1_reward_discovery_all.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_lore_archivist.ts	assetUrl	art/cards/s1_reward_lore_archivist.webp	art/cards/s1_reward_lore_archivist.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_outbreak_cure.ts	assetUrl	art/cards/s1_reward_outbreak_cure.webp	art/cards/s1_reward_outbreak_cure.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_rpg_quest.ts	assetUrl	art/cards/s1_reward_rpg_quest.webp	art/cards/s1_reward_rpg_quest.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_reward_vote_t1_acceptance.ts	assetUrl	art/cards/s1_reward_vote_t1_acceptance.webp	art/cards/s1_reward_vote_t1_acceptance.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_120_timeline_collapse.ts	assetUrl	art/cards/s1_spell_120.webp	art/cards/s1_spell_120.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_121_epoch_rewind.ts	assetUrl	art/cards/s1_spell_121.webp	art/cards/s1_spell_121.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_122_archaeological_dig.ts	assetUrl	art/cards/s1_spell_122.webp	art/cards/s1_spell_122.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_230_chrono_anchor.ts	assetUrl	art/cards/s1_spell_230.webp	art/cards/s1_spell_230.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_231_temporal_fracture.ts	assetUrl	art/cards/s1_spell_231.webp	art/cards/s1_spell_231.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_232_fossil_record.ts	assetUrl	art/cards/s1_spell_232.webp	art/cards/s1_spell_232.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_233_era_shift.ts	assetUrl	art/cards/s1_spell_233.webp	art/cards/s1_spell_233.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_234_preservation_field.ts	assetUrl	art/cards/s1_spell_234.webp	art/cards/s1_spell_234.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_spell_235_age_of_silence.ts	assetUrl	art/cards/s1_spell_235.webp	art/cards/s1_spell_235.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_struct_005_relic_archive.ts	assetUrl	art/cards/antiquarian/relic_archive.webp	art/cards/antiquarian/relic_archive.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/antiquarian/s1_zeal_004_relic_acolyte.ts	assetUrl	art/cards/antiquarian/relic_acolyte.webp	art/cards/antiquarian/relic_acolyte.webp	OK_inventory
apps/shared/tcg-core/cards/definitions/architect/gen_architect.ts	assetUrl	art/cards/gen_architect.webp	art/cards/gen_architect.webp	OK_inventory
