archive	size_bytes	files_in_zip	present	renamed	missing	note
NanoBanna2_Art_Assets_112.zip	527223371	112	103	0	9	nanobanna2_assets/soul_stones/SS-VIOLET.png
Silence_in_Heaven_asset_set.zip	607613420	94	0	37	57	sih_assets/backgrounds/sih_bg_agora_original.png
Videos/CHESS_CUTSCENES_25.zip	350872199	75	75	0	0	
Videos/FIGHT_INTROS_COMPLETE.zip	1121155894	42	42	0	0	
Videos/GUILD_SIGNATURES.zip	459220739	24	24	0	0	
Videos/Music & Stories.zip	633662281	26	0	0	26	Baron & The Heart of Time (S2.13).mp4
Videos/NEW_CUTSCENES_67.zip	572435809	79	79	0	0	
Videos/NEW_VIDEOS_200.zip	1777661410	200	174	0	26	videos/dlc_mystery/y1q1_first_charter/shot_5.mp4
Videos/ORPHAN_POSTERS_VEO_3.zip	23496627	3	3	0	0	
Videos/OTHER_CUTSCENES.zip	364778063	47	45	0	2	prestige/kf1.png
Videos/Veo Vid Archive 2.zip	90344893	36	0	0	36	clip_01.mp4
Videos/Veo Vid SIH 1.zip	189599430	52	0	0	52	clip_01 (1).mp4
Videos/Welcome to Celebration & Mechronis.zip	735404480	4	0	0	4	Welcome to Celebration Final.mp4
Videos/awakening_cinematics.zip	134689626	51	51	0	0	
Videos/dischordian_cutscene_assets.zip	277188121	48	43	0	5	cutscenes/fallbacks/cs1_awakening_fallback.png
aaa_assets_complete.zip	1122576756	195	0	194	1	asset_summary.md
card art/dischordian_card_art_complete_406_bundle.zip	6469775864	957	0	0	957	dischordian_card_renders/art_s1_char_007.png
casino_art_bible_assets.zip	762838829	115	65	0	50	casino_art/section2_game_tables/GT-001_Tournament_Bracket_original.png
cinematics_and_vfx.zip	464848997	84	27	57	0	
degen_remade_assets.zip	75255118	11	11	0	0	
dischordian_aaa_game_design_assets.zip	344393209	54	0	0	54	generated_assets/art/ui/hud/panel_accent.png
dischordian_all_18_suits.zip	6430727242	1080	1080	0	0	
dischordian_saga_sprite_sheets.zip	444041286	71	71	0	0	
dmc_game_assets.zip	134482079	31	31	0	0	
lore_gallery_assets.zip	13479985	17	0	0	17	lore_gallery_final/era_backgrounds/lore_era_foundation_1920x1080.jpg
nanobanna2_game_assets.zip	106655348	75	15	0	60	nanobanna2_final/enemies_96/terminus_enemy_undead-grub_96.png
nilmorg_dialogue_portraits.zip	8314250	5	5	0	0	
optional_components_assets.zip	376118618	59	0	0	59	section1_empty_states/EMPTY-04_Lore_Journal_Blank_Pages.png
oracle-deck-aaa-assets.zip	326976796	46	0	0	46	art/oracle-deck/card-00-the-prisoner.png
page_backgrounds_assets.zip	6093815	12	12	0	0	
player_cabin_art_assets.zip	256159916	43	43	0	0	
tcg_card_art_651.zip	4389835723	651	0	651	0	
